year,state,NAME,id,State_Reported_Evictions
2010,California,"Alameda County, California",6001,7984
2011,California,"Alameda County, California",6001,7547
2012,California,"Alameda County, California",6001,6556
2013,California,"Alameda County, California",6001,6000
2014,California,"Alameda County, California",6001,5544
2015,California,"Alameda County, California",6001,4857
2010,California,"Alpine County, California",6003,15
2011,California,"Alpine County, California",6003,20
2013,California,"Alpine County, California",6003,18
2014,California,"Alpine County, California",6003,18
2010,California,"Amador County, California",6005,112
2011,California,"Amador County, California",6005,118
2012,California,"Amador County, California",6005,122
2013,California,"Amador County, California",6005,98
2014,California,"Amador County, California",6005,108
2015,California,"Amador County, California",6005,114
2010,California,"Butte County, California",6007,1128
2011,California,"Butte County, California",6007,1129
2012,California,"Butte County, California",6007,1026
2013,California,"Butte County, California",6007,1012
2014,California,"Butte County, California",6007,955
2015,California,"Butte County, California",6007,916
2010,California,"Calaveras County, California",6009,232
2011,California,"Calaveras County, California",6009,218
2012,California,"Calaveras County, California",6009,178
2013,California,"Calaveras County, California",6009,141
2014,California,"Calaveras County, California",6009,143
2015,California,"Calaveras County, California",6009,122
2010,California,"Colusa County, California",6011,46
2011,California,"Colusa County, California",6011,64
2012,California,"Colusa County, California",6011,48
2013,California,"Colusa County, California",6011,39
2014,California,"Colusa County, California",6011,35
2015,California,"Colusa County, California",6011,41
2010,California,"Contra Costa County, California",6013,6068
2011,California,"Contra Costa County, California",6013,5772
2012,California,"Contra Costa County, California",6013,4947
2013,California,"Contra Costa County, California",6013,4346
2014,California,"Contra Costa County, California",6013,3922
2015,California,"Contra Costa County, California",6013,3517
2010,California,"Del Norte County, California",6015,134
2011,California,"Del Norte County, California",6015,162
2012,California,"Del Norte County, California",6015,134
2013,California,"Del Norte County, California",6015,112
2014,California,"Del Norte County, California",6015,117
2015,California,"Del Norte County, California",6015,110
2010,California,"El Dorado County, California",6017,787
2011,California,"El Dorado County, California",6017,673
2012,California,"El Dorado County, California",6017,588
2013,California,"El Dorado County, California",6017,577
2014,California,"El Dorado County, California",6017,565
2015,California,"El Dorado County, California",6017,536
2010,California,"Fresno County, California",6019,5993
2011,California,"Fresno County, California",6019,5757
2012,California,"Fresno County, California",6019,5290
2013,California,"Fresno County, California",6019,4796
2014,California,"Fresno County, California",6019,4614
2015,California,"Fresno County, California",6019,4492
2010,California,"Glenn County, California",6021,56
2011,California,"Glenn County, California",6021,31
2012,California,"Glenn County, California",6021,107
2013,California,"Glenn County, California",6021,83
2014,California,"Glenn County, California",6021,30
2015,California,"Glenn County, California",6021,48
2010,California,"Humboldt County, California",6023,529
2011,California,"Humboldt County, California",6023,532
2012,California,"Humboldt County, California",6023,474
2013,California,"Humboldt County, California",6023,512
2014,California,"Humboldt County, California",6023,522
2015,California,"Humboldt County, California",6023,570
2010,California,"Imperial County, California",6025,685
2011,California,"Imperial County, California",6025,529
2012,California,"Imperial County, California",6025,618
2013,California,"Imperial County, California",6025,450
2014,California,"Imperial County, California",6025,424
2015,California,"Imperial County, California",6025,359
2010,California,"Inyo County, California",6027,36
2011,California,"Inyo County, California",6027,36
2012,California,"Inyo County, California",6027,36
2013,California,"Inyo County, California",6027,30
2014,California,"Inyo County, California",6027,33
2015,California,"Inyo County, California",6027,47
2010,California,"Kern County, California",6029,5813
2011,California,"Kern County, California",6029,5911
2012,California,"Kern County, California",6029,5570
2013,California,"Kern County, California",6029,5098
2014,California,"Kern County, California",6029,4793
2015,California,"Kern County, California",6029,4703
2010,California,"Kings County, California",6031,628
2011,California,"Kings County, California",6031,644
2012,California,"Kings County, California",6031,600
2013,California,"Kings County, California",6031,597
2014,California,"Kings County, California",6031,515
2015,California,"Kings County, California",6031,515
2010,California,"Lake County, California",6033,440
2011,California,"Lake County, California",6033,404
2012,California,"Lake County, California",6033,406
2013,California,"Lake County, California",6033,426
2014,California,"Lake County, California",6033,404
2015,California,"Lake County, California",6033,415
2010,California,"Lassen County, California",6035,116
2011,California,"Lassen County, California",6035,124
2012,California,"Lassen County, California",6035,143
2013,California,"Lassen County, California",6035,126
2014,California,"Lassen County, California",6035,104
